op	desc	N	V	B	D	I	Z	C	type	mode	hex	opmode	mode_template	dec
cpx	X-{adr}	*					*	*	logical	abs	$EC	absolute	$0000	236
sbc	A:=A-{adr}	*	*				*	*	logical	abs	$ED	absolute	$0000	237
inc	{adr}:={adr}+1	*					*		logical	abs	$EE	absolute	$0000	238
isc	{adr}:={adr}+1 A:=A-{adr}	*	*				*	*	illegal	abs	$EF	absolute	$0000	239
beq	branch on Z=1								jump	rel	$F0	relative	$000o0	240
sbc	A:=A-{adr}	*	*				*	*	logical	izy	$F1	indirect y	($00),Y	241
isc	{adr}:={adr}+1 A:=A-{adr}	*	*				*	*	illegal	izy	$F3	indirect y	($00),Y	243
sbc	A:=A-{adr}	*	*				*	*	logical	zpx	$F5	zero page x	$00,X	245
inc	{adr}:={adr}+1	*					*		logical	zpx	$F6	zero page x	$00,X	246
isc	{adr}:={adr}+1 A:=A-{adr}	*	*				*	*	illegal	zpx	$F7	zero page x	$00,X	247
sed	D:=1				1				jump	imp	$F8	implied	NA	248
sbc	A:=A-{adr}	*	*				*	*	logical	aby	$F9	absolute y	$0000,Y	249
isc	{adr}:={adr}+1 A:=A-{adr}	*	*				*	*	illegal	aby	$FB	absolute y	$0000,Y	251
sbc	A:=A-{adr}	*	*				*	*	logical	abx	$FD	absolute x	$0000,X	253
inc	{adr}:={adr}+1	*					*		logical	abx	$FE	absolute x	$0000,X	254
isc	{adr}:={adr}+1 A:=A-{adr}	*	*				*	*	illegal	abx	$FF	absolute x	$0000,X	255
